iter	Passed	Remaining
418	2413	3346
419	2418	3339
420	2423	3332
421	2428	3326
422	2433	3319
423	2438	3313
424	2443	3306
425	2449	3300
426	2456	3295
427	2460	3288
428	2464	3280
429	2469	3273
430	2473	3265
431	2478	3258
432	2482	3250
433	2487	3243
434	2491	3235
435	2495	3227
436	2500	3221
437	2505	3214
438	2509	3207
439	2513	3199
440	2519	3193
441	2524	3186
442	2528	3179
443	2534	3174
444	2540	3168
445	2546	3162
446	2554	3159
447	2560	3155
448	2566	3149
449	2572	3144
450	2578	3139
451	2584	3133
452	2590	3127
453	2595	3121
454	2602	3117
455	2607	3110
456	2611	3103
457	2616	3096
458	2621	3090
459	2627	3084
460	2634	3079
461	2639	3073
462	2644	3067
463	2649	3061
464	2655	3054
465	2660	3048
466	2666	3042
467	2671	3036
468	2676	3030
469	2681	3024
470	2687	3017
471	2692	3012
472	2697	3005
473	2703	2999
474	2708	2993
475	2714	2987
476	2719	2981
477	2724	2975
478	2730	2970
479	2736	2964
480	2741	2957
481	2747	2952
482	2752	2946
483	2757	2940
484	2763	2933
485	2768	2927
486	2773	2921
487	2779	2916
488	2785	2910
489	2790	2904
490	2796	2898
491	2801	2893
492	2807	2886
493	2812	2880
494	2817	2874
495	2823	2869
496	2830	2864
497	2836	2858
498	2842	2853
499	2848	2848
500	2854	2843
501	2860	2837
502	2866	2832
503	2871	2825
504	2876	2819
505	2881	2813
506	2887	2807
507	2893	2802
508	2898	2795
509	2904	2790
510	2909	2784
511	2914	2777
512	2920	2772
513	2925	2766
514	2931	2760
515	2937	2754
516	2943	2749
517	2948	2743
518	2953	2737
519	2958	2731
520	2964	2725
521	2970	2719
522	2975	2713
523	2980	2707
524	2985	2701
525	2992	2696
526	2997	2690
527	3003	2684
528	3008	2678
529	3013	2672
530	3018	2666
531	3024	2660
532	3029	2654
533	3035	2649
534	3041	2643
535	3046	2637
536	3052	2631
537	3058	2626
538	3063	2619
539	3068	2613
540	3074	2608
541	3080	2602
542	3085	2597
543	3091	2591
544	3096	2584
545	3101	2578
546	3106	2573
547	3112	2566
548	3117	2560
549	3122	2554
550	3127	2548
551	3132	2542
552	3138	2536
553	3143	2530
554	3148	2524
555	3154	2519
556	3159	2513
557	3165	2507
558	3171	2501
559	3176	2495
560	3181	2489
561	3186	2483
562	3192	2477
563	3198	2472
564	3203	2466
565	3208	2460
566	3213	2454
567	3219	2448
568	3224	2442
569	3231	2437
570	3236	2431
571	3241	2425
572	3246	2419
573	3251	2413
574	3256	2407
575	3261	2400
576	3266	2394
577	3272	2389
578	3277	2383
579	3282	2377
580	3288	2371
581	3293	2365
582	3298	2359
583	3303	2353
584	3308	2347
585	3314	2341
586	3319	2335
587	3324	2329
588	3330	2323
589	3336	2318
590	3341	2312
591	3346	2306
592	3352	2301
593	3357	2295
594	3363	2289
595	3369	2283
596	3373	2277
597	3379	2271
598	3383	2265
599	3388	2259
600	3393	2252
601	3398	2246
602	3404	2241
603	3409	2235
604	3415	2229
605	3420	2224
606	3426	2218
607	3432	2213
608	3437	2207
609	3442	2200
610	3447	2195
611	3453	2189
612	3458	2183
613	3464	2177
614	3468	2171
615	3474	2165
616	3479	2160
617	3485	2154
618	3490	2148
619	3495	2142
620	3501	2136
621	3506	2130
622	3511	2125
623	3517	2119
624	3522	2113
625	3528	2108
626	3534	2102
627	3540	2097
628	3545	2091
629	3550	2085
630	3556	2079
631	3561	2073
632	3566	2067
633	3571	2061
634	3577	2056
635	3582	2050
636	3587	2044
637	3592	2038
638	3597	2032
639	3602	2026
640	3608	2020
641	3613	2014
642	3618	2009
643	3624	2003
644	3629	1997
645	3635	1991
646	3640	1986
647	3646	1980
648	3651	1974
649	3657	1969
650	3662	1963
651	3667	1957
652	3672	1951
653	3678	1946
654	3684	1940
655	3689	1934
656	3695	1929
657	3700	1923
658	3708	1919
659	3713	1913
660	3719	1907
661	3724	1901
662	3730	1896
663	3735	1890
664	3741	1884
665	3746	1878
666	3752	1873
667	3757	1867
668	3762	1861
669	3767	1855
670	3772	1849
671	3777	1843
672	3782	1837
673	3787	1832
674	3793	1826
675	3798	1820
676	3805	1815
677	3810	1809
678	3815	1803
679	3821	1798
680	3828	1793
681	3835	1788
682	3841	1782
683	3846	1777
684	3852	1771
685	3858	1766
686	3863	1760
687	3869	1754
688	3875	1749
689	3881	1743
690	3887	1738
691	3893	1732
692	3898	1727
693	3904	1721
694	3910	1716
695	3917	1711
696	3922	1705
697	3928	1699
698	3933	1693
699	3938	1688
700	3944	1682
701	3949	1676
702	3954	1670
703	3960	1665
704	3965	1659
705	3970	1653
706	3975	1647
707	3980	1641
708	3985	1635
709	3990	1630
710	3996	1624
711	4001	1618
712	4006	1612
713	4012	1607
714	4018	1601
715	4024	1596
716	4030	1590
717	4035	1585
718	4042	1579
719	4047	1574
720	4052	1568
721	4057	1562
722	4063	1556
723	4068	1551
724	4074	1545
725	4080	1539
726	4085	1534
727	4091	1528
728	4097	1523
729	4102	1517
730	4107	1511
731	4116	1507
732	4122	1501
733	4128	1496
734	4134	1490
735	4140	1485
736	4145	1479
737	4150	1473
738	4156	1467
739	4161	1462
740	4166	1456
741	4172	1450
742	4178	1445
743	4183	1439
744	4189	1433
745	4194	1428
746	4200	1422
747	4206	1417
748	4212	1411
749	4217	1405
750	4222	1400
751	4228	1394
752	4234	1389
753	4239	1383
754	4245	1377
755	4250	1371
756	4255	1366
757	4261	1360
758	4266	1354
759	4272	1349
760	4278	1343
761	4283	1338
762	4288	1332
763	4294	1326
764	4299	1320
765	4304	1315
766	4310	1309
767	4316	1303
768	4321	1298
769	4327	1292
770	4332	1286
771	4337	1281
772	4342	1275
773	4347	1269
774	4353	1263
775	4358	1258
776	4363	1252
777	4369	1246
778	4374	1241
779	4379	1235
780	4385	1229
781	4390	1224
782	4396	1218
783	4401	1212
784	4407	1207
785	4412	1201
786	4417	1195
